,Variable,date,Tank,Mean,Cohort
827,Weight (g),3/4/2020,RTB4,34.194,Cohort6
828,Antenna:Shrimp lengths (ratio):,3/11/2020,RTB4,0.247763458,Cohort6
829,Condition Factor:,3/11/2020,RTB4,0.937448024,Cohort6
830,Gut content (score):,3/11/2020,RTB4,1.6,Cohort6
831,Hepatosomatic index:,3/11/2020,RTB4,0.041352541,Cohort6
832,Surface necrosis (score):,3/11/2020,RTB4,1,Cohort6
833,Weight (g),3/11/2020,RTB4,39.476,Cohort6
834,Antenna:Shrimp lengths (ratio):,3/25/2020,RTB4,0.210646397,Cohort6
835,Condition Factor:,3/25/2020,RTB4,1.000352733,Cohort6
836,Gut content (score):,3/25/2020,RTB4,1,Cohort6
837,Hepatosomatic index:,3/25/2020,RTB4,0.038941668,Cohort6
838,Surface necrosis (score):,3/25/2020,RTB4,1,Cohort6
839,Weight (g),3/25/2020,RTB4,45.53,Cohort6
840,Gut content (score):,1/2/2019,RTB5,2.4,
841,Gut content (score):,1/16/2019,RTB5,1.4,
842,Gut content (score):,2/19/2019,RTB5,1.2,
843,Gut content (score):,3/13/2019,RTB5,1.2,
844,Gut content (score):,3/27/2019,RTB5,1,
845,Antenna:Shrimp lengths (ratio):,9/4/2019,RTB5,0.45551267,Cohort4
846,Condition Factor:,9/4/2019,RTB5,1.018876775,Cohort4
847,Gut content (score):,9/4/2019,RTB5,1.6,Cohort4
848,Hepatosomatic index:,9/4/2019,RTB5,0.05038732,Cohort4
849,Surface necrosis (score):,9/4/2019,RTB5,0,Cohort4
850,Weight (g),9/4/2019,RTB5,28.69,Cohort4
851,Antenna:Shrimp lengths (ratio):,9/10/2019,RTB5,0.425463139,Cohort4
852,Condition Factor:,9/10/2019,RTB5,0.918796959,Cohort4
853,Gut content (score):,9/10/2019,RTB5,1.6,Cohort4
854,Hepatosomatic index:,9/10/2019,RTB5,0.051890279,Cohort4
855,Surface necrosis (score):,9/10/2019,RTB5,0.2,Cohort4
856,Weight (g),9/10/2019,RTB5,29.212,Cohort4
857,Antenna:Shrimp lengths (ratio):,9/18/2019,RTB5,0.49301407,Cohort4
858,Condition Factor:,9/18/2019,RTB5,0.946466548,Cohort4
859,Gut content (score):,9/18/2019,RTB5,0.4,Cohort4
860,Hepatosomatic index:,9/18/2019,RTB5,0.06487567,Cohort4
861,Surface necrosis (score):,9/18/2019,RTB5,0.2,Cohort4
862,Weight (g),9/18/2019,RTB5,31.972,Cohort4
863,Gut content (score):,11/20/2019,RTB5,2.4,Cohort6
864,Surface necrosis (score):,11/20/2019,RTB5,2.2,Cohort6
865,Gut content (score):,11/26/2019,RTB5,2.2,Cohort6
866,Surface necrosis (score):,11/26/2019,RTB5,0.6,Cohort6
867,Antenna:Shrimp lengths (ratio):,1/2/2020,RTB5,0.43811826,Cohort6
868,Condition Factor:,1/2/2020,RTB5,0.880680169,Cohort6
869,Gut content (score):,1/2/2020,RTB5,1.8,Cohort6
870,Hepatosomatic index:,1/2/2020,RTB5,0.046715417,Cohort6
871,Surface necrosis (score):,1/2/2020,RTB5,0.2,Cohort6
872,Weight (g),1/2/2020,RTB5,17.332,Cohort6
873,Antenna:Shrimp lengths (ratio):,1/8/2020,RTB5,0.292727631,Cohort6
874,Condition Factor:,1/8/2020,RTB5,0.997965982,Cohort6
875,Gut content (score):,1/8/2020,RTB5,0.6,Cohort6
876,Hepatosomatic index:,1/8/2020,RTB5,0.045167892,Cohort6
877,Surface necrosis (score):,1/8/2020,RTB5,1.2,Cohort6
878,Weight (g),1/8/2020,RTB5,23.106,Cohort6
879,Antenna:Shrimp lengths (ratio):,1/15/2020,RTB5,0.269265123,Cohort6
880,Condition Factor:,1/15/2020,RTB5,0.875362695,Cohort6
881,Gut content (score):,1/15/2020,RTB5,1.6,Cohort6
882,Hepatosomatic index:,1/15/2020,RTB5,0.041297108,Cohort6
883,Surface necrosis (score):,1/15/2020,RTB5,0.6,Cohort6
884,Weight (g),1/15/2020,RTB5,22.534,Cohort6
885,Antenna:Shrimp lengths (ratio):,1/22/2020,RTB5,0.365737096,Cohort6
886,Condition Factor:,1/22/2020,RTB5,0.991228274,Cohort6
887,Gut content (score):,1/22/2020,RTB5,0.8,Cohort6
888,Hepatosomatic index:,1/22/2020,RTB5,0.042421697,Cohort6
889,Surface necrosis (score):,1/22/2020,RTB5,0.8,Cohort6
890,Weight (g),1/22/2020,RTB5,27.848,Cohort6
891,Antenna:Shrimp lengths (ratio):,1/29/2020,RTB5,0.294670028,Cohort6
892,Condition Factor:,1/29/2020,RTB5,0.96514991,Cohort6
893,Gut content (score):,1/29/2020,RTB5,0.8,Cohort6
894,Hepatosomatic index:,1/29/2020,RTB5,0.038851135,Cohort6
895,Surface necrosis (score):,1/29/2020,RTB5,1,Cohort6
896,Weight (g),1/29/2020,RTB5,29.416,Cohort6
897,Antenna:Shrimp lengths (ratio):,2/5/2020,RTB5,0.23350219,Cohort6
898,Condition Factor:,2/5/2020,RTB5,0.880136307,Cohort6
899,Gut content (score):,2/5/2020,RTB5,2.6,Cohort6
900,Hepatosomatic index:,2/5/2020,RTB5,0.038123543,Cohort6
901,Surface necrosis (score):,2/5/2020,RTB5,0.6,Cohort6
902,Weight (g),2/5/2020,RTB5,27.272,Cohort6
903,Antenna:Shrimp lengths (ratio):,2/19/2020,RTB5,1.260107029,
904,Condition Factor:,2/19/2020,RTB5,0.7992629,
905,Gut content (score):,2/19/2020,RTB5,1.4,
906,Hepatosomatic index:,2/19/2020,RTB5,0.059513248,
907,Surface necrosis (score):,2/19/2020,RTB5,0.6,
908,Weight (g),2/19/2020,RTB5,1.802,
909,Antenna:Shrimp lengths (ratio):,2/26/2020,RTB5,1.408005371,
910,Condition Factor:,2/26/2020,RTB5,0.93164187,
911,Gut content (score):,2/26/2020,RTB5,1.4,
912,Hepatosomatic index:,2/26/2020,RTB5,0.065667089,
913,Surface necrosis (score):,2/26/2020,RTB5,0,
914,Weight (g),2/26/2020,RTB5,3.018,
915,Antenna:Shrimp lengths (ratio):,3/4/2020,RTB5,1.037660494,
916,Condition Factor:,3/4/2020,RTB5,0.953734227,
917,Gut content (score):,3/4/2020,RTB5,1,
918,Hepatosomatic index:,3/4/2020,RTB5,0.055628275,
919,Surface necrosis (score):,3/4/2020,RTB5,0.8,
920,Weight (g),3/4/2020,RTB5,7.296,
921,Antenna:Shrimp lengths (ratio):,3/11/2020,RTB5,0.905139346,
922,Condition Factor:,3/11/2020,RTB5,0.987461171,
923,Gut content (score):,3/11/2020,RTB5,0.8,
924,Hepatosomatic index:,3/11/2020,RTB5,0.051768526,
925,Surface necrosis (score):,3/11/2020,RTB5,1.2,
926,Weight (g),3/11/2020,RTB5,9.166,
927,Antenna:Shrimp lengths (ratio):,3/16/2020,RTB5,0.717289005,
928,Condition Factor:,3/16/2020,RTB5,1.10746816,
929,Gut content (score):,3/16/2020,RTB5,0,
930,Hepatosomatic index:,3/16/2020,RTB5,0.049814302,
931,Surface necrosis (score):,3/16/2020,RTB5,0,
932,Weight (g),3/16/2020,RTB5,11.75333333,
933,Antenna:Shrimp lengths (ratio):,3/18/2020,RTB5,0.555255015,
934,Condition Factor:,3/18/2020,RTB5,1.078321024,
935,Gut content (score):,3/18/2020,RTB5,1.8,
936,Hepatosomatic index:,3/18/2020,RTB5,0.046244482,
937,Surface necrosis (score):,3/18/2020,RTB5,0.6,
938,Weight (g),3/18/2020,RTB5,12.866,
939,Antenna:Shrimp lengths (ratio):,3/25/2020,RTB5,0.500247617,
940,Condition Factor:,3/25/2020,RTB5,0.908614581,
941,Gut content (score):,3/25/2020,RTB5,2,
942,Hepatosomatic index:,3/25/2020,RTB5,0.047086037,
943,Surface necrosis (score):,3/25/2020,RTB5,0.8,
944,Weight (g),3/25/2020,RTB5,15.192,
945,Gut content (score):,1/24/2019,RTB6,0,Cohort2
946,Antenna:Shrimp lengths (ratio):,1/31/2019,RTB6,0.843772911,Cohort2
947,Condition Factor:,1/31/2019,RTB6,1.058167543,Cohort2
948,Gut content (score):,1/31/2019,RTB6,1.4,Cohort2
949,Hepatosomatic index:,1/31/2019,RTB6,0.080947414,Cohort2
950,Surface necrosis (score):,1/31/2019,RTB6,0.2,Cohort2
951,Antenna:Shrimp lengths (ratio):,2/8/2019,RTB6,0.790828983,Cohort2
952,Condition Factor:,2/8/2019,RTB6,0.96144026,Cohort2
953,Gut content (score):,2/8/2019,RTB6,2,Cohort2
954,Hepatosomatic index:,2/8/2019,RTB6,0.074732875,Cohort2
955,Surface necrosis (score):,2/8/2019,RTB6,0,Cohort2
956,Antenna:Shrimp lengths (ratio):,2/14/2019,RTB6,0.653989099,Cohort2
957,Condition Factor:,2/14/2019,RTB6,1.14069882,Cohort2
958,Gut content (score):,2/14/2019,RTB6,0,Cohort2
959,Hepatosomatic index:,2/14/2019,RTB6,0.059419347,Cohort2
960,Surface necrosis (score):,2/14/2019,RTB6,0.2,Cohort2
961,Antenna:Shrimp lengths (ratio):,2/21/2019,RTB6,0.289212627,Cohort2
962,Condition Factor:,2/21/2019,RTB6,0.943150475,Cohort2
963,Gut content (score):,2/21/2019,RTB6,0.8,Cohort2
964,Hepatosomatic index:,2/21/2019,RTB6,0.059051724,Cohort2
965,Surface necrosis (score):,2/21/2019,RTB6,0.4,Cohort2
966,Antenna:Shrimp lengths (ratio):,2/28/2019,RTB6,0.231312027,Cohort2
967,Condition Factor:,2/28/2019,RTB6,1.015127811,Cohort2
968,Gut content (score):,2/28/2019,RTB6,0,Cohort2
969,Hepatosomatic index:,2/28/2019,RTB6,0.051544618,Cohort2
970,Surface necrosis (score):,2/28/2019,RTB6,1,Cohort2
971,Antenna:Shrimp lengths (ratio):,3/7/2019,RTB6,0.414249313,Cohort2
972,Condition Factor:,3/7/2019,RTB6,0.701077341,Cohort2
973,Gut content (score):,3/7/2019,RTB6,1,Cohort2
974,Hepatosomatic index:,3/7/2019,RTB6,0.114502699,Cohort2
975,Surface necrosis (score):,3/7/2019,RTB6,1,Cohort2
976,Weight (g),3/7/2019,RTB6,6.374,Cohort2
977,Antenna:Shrimp lengths (ratio):,3/13/2019,RTB6,0.262493214,Cohort2
978,Condition Factor:,3/13/2019,RTB6,0.876515394,Cohort2
979,Gut content (score):,3/13/2019,RTB6,1,Cohort2
980,Hepatosomatic index:,3/13/2019,RTB6,0.049307843,Cohort2
981,Surface necrosis (score):,3/13/2019,RTB6,0.6,Cohort2
982,Antenna:Shrimp lengths (ratio):,3/20/2019,RTB6,0.221295959,Cohort2
983,Condition Factor:,3/20/2019,RTB6,0.903457382,Cohort2
984,Gut content (score):,3/20/2019,RTB6,1,Cohort2
985,Hepatosomatic index:,3/20/2019,RTB6,0.047761688,Cohort2
986,Surface necrosis (score):,3/20/2019,RTB6,0.4,Cohort2
987,Antenna:Shrimp lengths (ratio):,3/28/2019,RTB6,0.272591129,Cohort2
988,Condition Factor:,3/28/2019,RTB6,0.90370652,Cohort2
989,Gut content (score):,3/28/2019,RTB6,2,Cohort2
990,Hepatosomatic index:,3/28/2019,RTB6,0.045833721,Cohort2
991,Surface necrosis (score):,3/28/2019,RTB6,0.2,Cohort2
992,Antenna:Shrimp lengths (ratio):,9/4/2019,RTB6,0.260113386,
993,Condition Factor:,9/4/2019,RTB6,1.083487703,
994,Gut content (score):,9/4/2019,RTB6,2.2,
995,Hepatosomatic index:,9/4/2019,RTB6,0.03779134,
996,Surface necrosis (score):,9/4/2019,RTB6,0.2,
997,Weight (g),9/4/2019,RTB6,23.16,
998,Antenna:Shrimp lengths (ratio):,9/18/2019,RTB6,1.286046756,
999,Condition Factor:,9/18/2019,RTB6,0.927033903,
1000,Gut content (score):,9/18/2019,RTB6,2,
1001,Hepatosomatic index:,9/18/2019,RTB6,0.067519314,
1002,Surface necrosis (score):,9/18/2019,RTB6,0.4,
1003,Weight (g),9/18/2019,RTB6,2.996,
1004,Antenna:Shrimp lengths (ratio):,9/25/2019,RTB6,1.095469489,
1005,Condition Factor:,9/25/2019,RTB6,0.876815101,
1006,Gut content (score):,9/25/2019,RTB6,1,
1007,Hepatosomatic index:,9/25/2019,RTB6,0.062751986,
1008,Surface necrosis (score):,9/25/2019,RTB6,0.2,
1009,Weight (g),9/25/2019,RTB6,5.35,
1010,Antenna:Shrimp lengths (ratio):,10/2/2019,RTB6,0.893369906,
1011,Condition Factor:,10/2/2019,RTB6,0.965846261,
1012,Gut content (score):,10/2/2019,RTB6,2.2,
1013,Hepatosomatic index:,10/2/2019,RTB6,0.059527731,
1014,Surface necrosis (score):,10/2/2019,RTB6,0.4,
1015,Weight (g),10/2/2019,RTB6,7.576,
1016,Antenna:Shrimp lengths (ratio):,10/9/2019,RTB6,0.539100227,
1017,Condition Factor:,10/9/2019,RTB6,0.954968932,
1018,Gut content (score):,10/9/2019,RTB6,0.4,
1019,Hepatosomatic index:,10/9/2019,RTB6,0.058814061,
1020,Surface necrosis (score):,10/9/2019,RTB6,1,
1021,Weight (g),10/9/2019,RTB6,10.634,
1022,Antenna:Shrimp lengths (ratio):,10/16/2019,RTB6,0.62186292,
1023,Condition Factor:,10/16/2019,RTB6,0.941521928,
1024,Gut content (score):,10/16/2019,RTB6,1,
1025,Hepatosomatic index:,10/16/2019,RTB6,0.05168554,
1026,Surface necrosis (score):,10/16/2019,RTB6,1,
1027,Weight (g),10/16/2019,RTB6,11.858,
1028,Antenna:Shrimp lengths (ratio):,10/23/2019,RTB6,0.526345266,
1029,Condition Factor:,10/23/2019,RTB6,0.9542084,
1030,Gut content (score):,10/23/2019,RTB6,1.4,
1031,Hepatosomatic index:,10/23/2019,RTB6,0.051646053,
1032,Surface necrosis (score):,10/23/2019,RTB6,1.2,
1033,Weight (g),10/23/2019,RTB6,13.46,
1034,Antenna:Shrimp lengths (ratio):,10/30/2019,RTB6,0.250705888,
1035,Condition Factor:,10/30/2019,RTB6,0.916782589,
1036,Gut content (score):,10/30/2019,RTB6,1,
1037,Hepatosomatic index:,10/30/2019,RTB6,0.059686931,
1038,Surface necrosis (score):,10/30/2019,RTB6,0.8,
1039,Weight (g),10/30/2019,RTB6,16.908,
1040,Antenna:Shrimp lengths (ratio):,11/6/2019,RTB6,0.299077877,
1041,Condition Factor:,11/6/2019,RTB6,0.950225646,
1042,Gut content (score):,11/6/2019,RTB6,2.6,
1043,Hepatosomatic index:,11/6/2019,RTB6,0.04522747,
1044,Surface necrosis (score):,11/6/2019,RTB6,1.2,
1045,Weight (g),11/6/2019,RTB6,19.668,
1046,Antenna:Shrimp lengths (ratio):,11/13/2019,RTB6,0.242480765,
1047,Condition Factor:,11/13/2019,RTB6,0.938642597,
1048,Gut content (score):,11/13/2019,RTB6,1.4,
1049,Hepatosomatic index:,11/13/2019,RTB6,0.044015141,
1050,Surface necrosis (score):,11/13/2019,RTB6,0.8,
1051,Weight (g),11/13/2019,RTB6,22.964,
1052,Antenna:Shrimp lengths (ratio):,11/20/2019,RTB6,0.256675819,
1053,Condition Factor:,11/20/2019,RTB6,0.973643732,
1054,Gut content (score):,11/20/2019,RTB6,2,
1055,Hepatosomatic index:,11/20/2019,RTB6,0.045608073,
1056,Surface necrosis (score):,11/20/2019,RTB6,1,
1057,Weight (g),11/20/2019,RTB6,26.908,
1058,Antenna:Shrimp lengths (ratio):,11/26/2019,RTB6,0.274839742,
1059,Condition Factor:,11/26/2019,RTB6,0.931150791,
1060,Gut content (score):,11/26/2019,RTB6,2.2,
1061,Hepatosomatic index:,11/26/2019,RTB6,0.045481983,
1062,Surface necrosis (score):,11/26/2019,RTB6,0.6,
1063,Weight (g),11/26/2019,RTB6,25.66,
1064,Antenna:Shrimp lengths (ratio):,1/8/2020,RTB6,1.321756585,
1065,Condition Factor:,1/8/2020,RTB6,0.866081657,
1066,Gut content (score):,1/8/2020,RTB6,0,
1067,Hepatosomatic index:,1/8/2020,RTB6,0.068635154,
1068,Surface necrosis (score):,1/8/2020,RTB6,0.4,
1069,Weight (g),1/8/2020,RTB6,1.938,
1070,Antenna:Shrimp lengths (ratio):,1/15/2020,RTB6,1.210431779,
1071,Condition Factor:,1/15/2020,RTB6,0.886588339,
1072,Gut content (score):,1/15/2020,RTB6,1,
1073,Hepatosomatic index:,1/15/2020,RTB6,0.072039696,
1074,Surface necrosis (score):,1/15/2020,RTB6,0,
1075,Weight (g),1/15/2020,RTB6,3.798,
1076,Antenna:Shrimp lengths (ratio):,1/22/2020,RTB6,1.168395024,
1077,Condition Factor:,1/22/2020,RTB6,0.91774458,
1078,Gut content (score):,1/22/2020,RTB6,0.8,
1079,Hepatosomatic index:,1/22/2020,RTB6,0.068703331,
1080,Surface necrosis (score):,1/22/2020,RTB6,0.8,
1081,Weight (g),1/22/2020,RTB6,5.442,
1082,Antenna:Shrimp lengths (ratio):,1/29/2020,RTB6,0.895645956,
1083,Condition Factor:,1/29/2020,RTB6,0.991072463,
1084,Gut content (score):,1/29/2020,RTB6,1,
1085,Hepatosomatic index:,1/29/2020,RTB6,0.059777103,
1086,Surface necrosis (score):,1/29/2020,RTB6,1,
1087,Weight (g),1/29/2020,RTB6,8.664,
1088,Antenna:Shrimp lengths (ratio):,2/5/2020,RTB6,0.546070322,
1089,Condition Factor:,2/5/2020,RTB6,0.870054408,
1090,Gut content (score):,2/5/2020,RTB6,0.4,
1091,Hepatosomatic index:,2/5/2020,RTB6,0.054658814,
1092,Surface necrosis (score):,2/5/2020,RTB6,1,
1093,Weight (g),2/5/2020,RTB6,10.688,
1094,Antenna:Shrimp lengths (ratio):,2/19/2020,RTB6,1.309178205,
1095,Condition Factor:,2/19/2020,RTB6,0.815363833,
1096,Gut content (score):,2/19/2020,RTB6,1.4,
1097,Hepatosomatic index:,2/19/2020,RTB6,0.062972448,
1098,Surface necrosis (score):,2/19/2020,RTB6,0.2,
1099,Weight (g),2/19/2020,RTB6,2.04,
1100,Antenna:Shrimp lengths (ratio):,2/26/2020,RTB6,1.104070814,
1101,Condition Factor:,2/26/2020,RTB6,0.910593618,
1102,Gut content (score):,2/26/2020,RTB6,1.2,
1103,Hepatosomatic index:,2/26/2020,RTB6,0.067122659,
1104,Surface necrosis (score):,2/26/2020,RTB6,0.6,
1105,Weight (g),2/26/2020,RTB6,2.172,
1106,Antenna:Shrimp lengths (ratio):,3/4/2020,RTB6,1.036263745,
1107,Condition Factor:,3/4/2020,RTB6,0.915802731,
1108,Gut content (score):,3/4/2020,RTB6,1,
1109,Hepatosomatic index:,3/4/2020,RTB6,0.055541297,
1110,Surface necrosis (score):,3/4/2020,RTB6,0.6,
1111,Weight (g),3/4/2020,RTB6,5.72,
1112,Antenna:Shrimp lengths (ratio):,3/10/2020,RTB6,1.056445216,
1113,Condition Factor:,3/10/2020,RTB6,0.954398234,
1114,Gut content (score):,3/10/2020,RTB6,0.8,
1115,Hepatosomatic index:,3/10/2020,RTB6,0.037292096,
1116,Surface necrosis (score):,3/10/2020,RTB6,0.6,
1117,Weight (g),3/10/2020,RTB6,5.884,
1118,Antenna:Shrimp lengths (ratio):,3/12/2020,RTB6,0.542015725,
1119,Condition Factor:,3/12/2020,RTB6,0.775254045,
1120,Gut content (score):,3/12/2020,RTB6,3,
1121,Hepatosomatic index:,3/12/2020,RTB6,0.036276329,
1122,Surface necrosis (score):,3/12/2020,RTB6,1.4,
1123,Weight (g),3/12/2020,RTB6,8.718,
1124,Gut content (score):,1/24/2019,RTB7,2.6,
1125,Antenna:Shrimp lengths (ratio):,1/31/2019,RTB7,1.160212876,
1126,Condition Factor:,1/31/2019,RTB7,1.092614038,
1127,Gut content (score):,1/31/2019,RTB7,0.8,
1128,Hepatosomatic index:,1/31/2019,RTB7,0.078766112,
1129,Surface necrosis (score):,1/31/2019,RTB7,0,
1130,Antenna:Shrimp lengths (ratio):,2/8/2019,RTB7,0.874931126,
1131,Condition Factor:,2/8/2019,RTB7,0.959821179,
1132,Gut content (score):,2/8/2019,RTB7,0,
1133,Hepatosomatic index:,2/8/2019,RTB7,0.068914829,
1134,Surface necrosis (score):,2/8/2019,RTB7,0,
1135,Antenna:Shrimp lengths (ratio):,2/14/2019,RTB7,0.553723549,
1136,Condition Factor:,2/14/2019,RTB7,1.125217229,
1137,Gut content (score):,2/14/2019,RTB7,0,
1138,Hepatosomatic index:,2/14/2019,RTB7,0.031792117,
1139,Surface necrosis (score):,2/14/2019,RTB7,0.25,
1140,Antenna:Shrimp lengths (ratio):,2/21/2019,RTB7,0.36034094,
1141,Condition Factor:,2/21/2019,RTB7,1.18332935,
1142,Gut content (score):,2/21/2019,RTB7,0.4,
1143,Hepatosomatic index:,2/21/2019,RTB7,0.051416032,
1144,Surface necrosis (score):,2/21/2019,RTB7,0.6,
1145,Antenna:Shrimp lengths (ratio):,2/28/2019,RTB7,0.260079132,
1146,Condition Factor:,2/28/2019,RTB7,0.975575058,
1147,Gut content (score):,2/28/2019,RTB7,0,
1148,Hepatosomatic index:,2/28/2019,RTB7,0.051563138,
1149,Surface necrosis (score):,2/28/2019,RTB7,0.2,
1150,Antenna:Shrimp lengths (ratio):,3/7/2019,RTB7,0.296183396,
1151,Condition Factor:,3/7/2019,RTB7,0.671454846,
1152,Gut content (score):,3/7/2019,RTB7,1.2,
1153,Hepatosomatic index:,3/7/2019,RTB7,0.055249778,
1154,Surface necrosis (score):,3/7/2019,RTB7,0.4,
1155,Weight (g),3/7/2019,RTB7,7.79,
1156,Antenna:Shrimp lengths (ratio):,3/13/2019,RTB7,0.225425564,
1157,Condition Factor:,3/13/2019,RTB7,0.854092266,
1158,Gut content (score):,3/13/2019,RTB7,0.6,
1159,Hepatosomatic index:,3/13/2019,RTB7,0.056680578,
1160,Surface necrosis (score):,3/13/2019,RTB7,0,
1161,Antenna:Shrimp lengths (ratio):,3/20/2019,RTB7,0.177044163,
1162,Condition Factor:,3/20/2019,RTB7,0.910714782,
1163,Gut content (score):,3/20/2019,RTB7,0,
1164,Hepatosomatic index:,3/20/2019,RTB7,0.048555066,
1165,Surface necrosis (score):,3/20/2019,RTB7,0.4,
1166,Antenna:Shrimp lengths (ratio):,3/28/2019,RTB7,0.225015604,
1167,Condition Factor:,3/28/2019,RTB7,0.787323097,
1168,Gut content (score):,3/28/2019,RTB7,1.4,
1169,Hepatosomatic index:,3/28/2019,RTB7,0.039833198,
1170,Surface necrosis (score):,3/28/2019,RTB7,0.4,
1171,Antenna:Shrimp lengths (ratio):,9/4/2019,RTB7,0.315620174,
1172,Condition Factor:,9/4/2019,RTB7,1.09413556,
1173,Gut content (score):,9/4/2019,RTB7,0.2,
1174,Hepatosomatic index:,9/4/2019,RTB7,0.038157439,
1175,Surface necrosis (score):,9/4/2019,RTB7,0.2,
1176,Weight (g),9/4/2019,RTB7,24.458,
1177,Antenna:Shrimp lengths (ratio):,9/18/2019,RTB7,1.312596399,
1178,Condition Factor:,9/18/2019,RTB7,0.948919256,
1179,Gut content (score):,9/18/2019,RTB7,1.6,
1180,Hepatosomatic index:,9/18/2019,RTB7,0.068421913,
1181,Surface necrosis (score):,9/18/2019,RTB7,0,
1182,Weight (g),9/18/2019,RTB7,2.766,
1183,Antenna:Shrimp lengths (ratio):,9/25/2019,RTB7,1.148354449,
1184,Condition Factor:,9/25/2019,RTB7,0.887950271,
1185,Gut content (score):,9/25/2019,RTB7,1.2,
1186,Hepatosomatic index:,9/25/2019,RTB7,0.059653411,
1187,Surface necrosis (score):,9/25/2019,RTB7,0.4,
1188,Weight (g),9/25/2019,RTB7,4.386,
1189,Antenna:Shrimp lengths (ratio):,10/2/2019,RTB7,0.682537251,
1190,Condition Factor:,10/2/2019,RTB7,0.930055966,
1191,Gut content (score):,10/2/2019,RTB7,1.8,
1192,Hepatosomatic index:,10/2/2019,RTB7,0.050125591,
1193,Surface necrosis (score):,10/2/2019,RTB7,0.4,
1194,Weight (g),10/2/2019,RTB7,7.884,
1195,Antenna:Shrimp lengths (ratio):,10/9/2019,RTB7,0.570993247,
1196,Condition Factor:,10/9/2019,RTB7,0.923973495,
1197,Gut content (score):,10/9/2019,RTB7,0.6,
1198,Hepatosomatic index:,10/9/2019,RTB7,0.054246408,
1199,Surface necrosis (score):,10/9/2019,RTB7,0.8,
1200,Weight (g),10/9/2019,RTB7,10.448,
1201,Antenna:Shrimp lengths (ratio):,10/16/2019,RTB7,0.322203621,
1202,Condition Factor:,10/16/2019,RTB7,0.917342294,
1203,Gut content (score):,10/16/2019,RTB7,1.4,
1204,Hepatosomatic index:,10/16/2019,RTB7,0.056398673,
1205,Surface necrosis (score):,10/16/2019,RTB7,1.8,
1206,Weight (g),10/16/2019,RTB7,12.606,
1207,Antenna:Shrimp lengths (ratio):,10/23/2019,RTB7,0.371385284,
1208,Condition Factor:,10/23/2019,RTB7,0.958179543,
1209,Gut content (score):,10/23/2019,RTB7,1.4,
1210,Hepatosomatic index:,10/23/2019,RTB7,0.050373382,
1211,Surface necrosis (score):,10/23/2019,RTB7,0.6,
1212,Weight (g),10/23/2019,RTB7,15.086,
1213,Antenna:Shrimp lengths (ratio):,10/30/2019,RTB7,0.275004631,
1214,Condition Factor:,10/30/2019,RTB7,0.932757488,
1215,Gut content (score):,10/30/2019,RTB7,1.6,
1216,Hepatosomatic index:,10/30/2019,RTB7,0.048937516,
1217,Surface necrosis (score):,10/30/2019,RTB7,1,
1218,Weight (g),10/30/2019,RTB7,18.766,
1219,Antenna:Shrimp lengths (ratio):,11/6/2019,RTB7,0.28837356,
1220,Condition Factor:,11/6/2019,RTB7,0.917641201,
1221,Gut content (score):,11/6/2019,RTB7,1,
1222,Hepatosomatic index:,11/6/2019,RTB7,0.048288927,
1223,Surface necrosis (score):,11/6/2019,RTB7,0.4,
1224,Weight (g),11/6/2019,RTB7,21.908,
1225,Antenna:Shrimp lengths (ratio):,11/13/2019,RTB7,0.26015852,
1226,Condition Factor:,11/13/2019,RTB7,0.925440128,
1227,Gut content (score):,11/13/2019,RTB7,1.4,
1228,Hepatosomatic index:,11/13/2019,RTB7,0.043359946,
1229,Surface necrosis (score):,11/13/2019,RTB7,1,
1230,Weight (g),11/13/2019,RTB7,22.36,
1231,Antenna:Shrimp lengths (ratio):,11/20/2019,RTB7,0.262776841,
1232,Condition Factor:,11/20/2019,RTB7,0.959645446,
1233,Gut content (score):,11/20/2019,RTB7,1,
1234,Hepatosomatic index:,11/20/2019,RTB7,0.047953529,
1235,Surface necrosis (score):,11/20/2019,RTB7,0.6,
1236,Weight (g),11/20/2019,RTB7,24.958,
1237,Antenna:Shrimp lengths (ratio):,11/26/2019,RTB7,0.224874846,
1238,Condition Factor:,11/26/2019,RTB7,0.912929598,
1239,Gut content (score):,11/26/2019,RTB7,2.2,
1240,Hepatosomatic index:,11/26/2019,RTB7,0.044232729,
1241,Surface necrosis (score):,11/26/2019,RTB7,1,
1242,Weight (g),11/26/2019,RTB7,28.634,
1243,Antenna:Shrimp lengths (ratio):,1/8/2020,RTB7,1.251823362,
1244,Condition Factor:,1/8/2020,RTB7,0.878756834,
1245,Gut content (score):,1/8/2020,RTB7,2.4,
1246,Hepatosomatic index:,1/8/2020,RTB7,0.069106377,
1247,Surface necrosis (score):,1/8/2020,RTB7,0.6,
1248,Weight (g),1/8/2020,RTB7,1.402,
1249,Antenna:Shrimp lengths (ratio):,1/15/2020,RTB7,1.133720128,
1250,Condition Factor:,1/15/2020,RTB7,0.892628386,
1251,Gut content (score):,1/15/2020,RTB7,0.4,
1252,Hepatosomatic index:,1/15/2020,RTB7,0.062284805,
1253,Surface necrosis (score):,1/15/2020,RTB7,0,
1254,Weight (g),1/15/2020,RTB7,3.98,
1255,Antenna:Shrimp lengths (ratio):,1/22/2020,RTB7,1.139833265,
1256,Condition Factor:,1/22/2020,RTB7,0.95589686,
1257,Gut content (score):,1/22/2020,RTB7,0.8,
1258,Hepatosomatic index:,1/22/2020,RTB7,0.056048278,
